名称,类别,出现回目,季节判断,时令说明,烹饪方式,制作工具,口味特征,食材分类,主要食材,辅料,成品特点,适用人群,食用场景,关联人物,关联事件,稀有程度,食材可得性,保鲜期(小时),清洗难度,去皮难度,去骨去壳难度,刀工精度,腌制时长(小时),泡发时长(小时),焯水过油,工序步骤数,技法种类,火候要求,主动工时(分钟),总耗时(分钟),设备依赖度,能源消耗,最佳赏味窗口(分钟),可保存时长(天),摆盘难度,进食难度,食用耗时(分钟),饱腹感,搭配需求,营养均衡度,健康等级,文化象征礼仪等级,文学权重,文学隐喻
炸鹌鹑,菜肴,第四十六回,四季,炸制品四季皆可,油炸,油锅/铁锅,椒盐/咸鲜,禽肉,鹌鹑,盐/花椒粉/料酒/姜汁/面粉或淀粉,外皮酥脆；内部肉质细嫩；椒盐咸香,通用,宴席,王熙凤,凤姐提及舅母送来的礼物,常见,★★,24,★★,★,★★★,★,1,0,无,4,2,猛火,15,25,★★★,★★★★,20,2,★★,★★★,10,★★,★,★★,高脂,宴席,★★★,舅母送两笼子鹌鹑，凤姐吩咐炸了
野鸡瓜,菜肴,第四十九回,秋冬季,野鸡秋冬季肥美，家常小炒四季可食,炒制,铁锅/炒锅,咸鲜,禽肉,野鸡肉,黄瓜或冬瓜/盐/酱油/料酒/姜末/葱末,鸡丁嫩滑；瓜丁爽脆；色泽清新,通用,日常,贾宝玉,宝玉在贾母处匆忙吃饭时佐餐,常见,★★★,24,★★,★,★★★,★★,0,0,无,4,3,猛火,20,30,★★,★★★★,10,2,★,★★,15,★★★,★,★★★,中脂,日常,★★★,宝玉用茶泡饭就着野鸡瓜子吃
烧野鸡,菜肴,第二十回,秋冬季,野鸡秋冬肥美，红烧暖身,红烧,铁锅/砂锅,咸甜/酱香,禽肉,野鸡,酱油/糖/料酒/姜/葱/八角,色泽红亮；肉质酥烂；咸甜适口,通用,日常,李嬷嬷/贾宝玉,李嬷嬷为哄宝玉时提及,常见,★★★,24,★★,★,★★★,★,0,0,焯水,5,3,中火,25,90,★★★,★★★,30,3,★,★★★,20,★★★★,★,★★★,中脂,日常,★★★,李嬷嬷说“我屋里烧的滚热的野鸡”
鸽子蛋,菜肴,第四十回,四季,四季皆有，宴席常用,煮,铁锅,咸鲜,禽肉,鸽子蛋,清水/酱油或醋,蛋白晶莹剔透；蛋黄细腻；个头小巧,通用,宴席,刘姥姥/王熙凤/贾母,刘姥姥进大观园时凤姐捉弄她的道具,常见,★★,720,★,★★,★,★,0,0,无,2,1,中火,10,15,★,★★,15,30,★,★★,5,★★,★,★★★,低脂,宴席,★★★★,凤姐说“一两银子一个呢”
笼蒸螃蟹,菜肴,第三十八回,秋季,秋深蟹肥，时令性极强,清蒸,蒸笼,鲜甜,水产,螃蟹,姜/醋/紫苏叶,蟹壳红亮；蟹黄饱满；蟹肉鲜甜,通用,宴席,史湘云/贾母/大观园群芳,藕香榭螃蟹宴,时令,★★★★,48,★★,★,★★★★★,★,0,0,无,3,1,中火,30,40,★★★,★★★,20,2,★,★★★★★,45,★★★,★★★★,★★★★,中脂,宴席,★★★★★,湘云做东请贾母等赏桂花吃螃蟹
火腿鲜笋汤,汤羹,第五十八回,春季,春笋为春季时令食材，鲜美无比,炖煮,砂锅,咸鲜/清鲜,畜肉/蔬菜,火腿/鲜笋,姜片/料酒/盐/清水或高汤,汤色清亮；火腿咸香；笋片脆嫩,病患,病中,贾宝玉,宝玉病后饮食中的一道汤,时令,★★★,24,★★,★★,★,★,0,0,焯水,4,2,文火,20,60,★★,★★,30,2,★,★,10,★★,★,★★★,低脂,病中,★★★★,宝玉病后饮食清淡，此汤正合宜
火肉白菜汤,汤羹,第八十七回,秋冬季,白菜秋冬最甜，家常汤品,炖煮,砂锅,咸鲜,畜肉/蔬菜,火肉/白菜,虾米/青笋/紫菜/盐,汤色清澈；菜叶碧绿；火腿咸鲜；虾米提味,病患,病中,林黛玉/紫鹃,黛玉病中紫鹃安排厨房做的汤,常见,★★,24,★★,★,★,★,0,0,焯水,4,2,文火,15,40,★★,★,30,2,★,★,10,★★,★,★★★,低脂,病中,★★★★,黛玉病中紫鹃安排此汤，体现主仆情深
建莲红枣汤,汤羹,第五十二回,四季,莲子红枣四季可食，秋冬暖身更佳,炖煮,砂锅/银锅,清甜,果品,建莲/红枣,冰糖/清水,汤色红润；莲子粉糯；红枣香甜,通用,日常,贾宝玉,宝玉出门前喝的早汤,常见,★★★,720,★★,★★,★,★,0,0,无,3,2,文火,10,50,★★,★,30,3,★,★,10,★★,★,★★,低糖,日常,★★★,宝玉出门前喝了两口，显示贵族日常细致
板栗烧野鸡,菜肴,无明确回目,秋季,板栗秋熟，野鸡秋肥，时令搭配,红烧,铁锅/砂锅,咸甜,禽肉/干果,野鸡/板栗,酱油/糖/料酒/姜/葱/八角,色泽红亮；鸡肉酥烂；板栗绵糯香甜,通用,宴席,无,推测为秋冬时令菜,常见,★★★,24,★★,★★★★,★★★,★,0,0,焯水,5,3,中火,30,90,★★★,★★★,30,3,★,★★★,25,★★★★,★,★★★★,中脂,宴席,★★★,书中分别提及板栗和野鸡
油盐炒枸杞芽,菜肴,第六十一回,春季,枸杞芽为春季时令野菜,炒制,铁锅/炒锅,清鲜,蔬菜,枸杞芽,油/盐/蒜末,色泽碧绿；口感爽脆；味道清鲜,通用,日常,探春/宝钗,探春和宝钗偶然想吃的小菜,时令,★★★,12,★★,★,★,★,0,0,无,3,2,猛火,10,15,★,★★★★,10,1,★,★,10,★,★,★,低脂,日常,★★★,探春/宝钗商议要吃，显示贵族小姐追求清淡
葱煨海参,菜肴,无明确回目,四季,海参为干货，四季可食，宴席常备,煨制,砂锅,葱香/咸鲜,水产,海参,大葱/高汤/酱油/料酒/糖/姜片,海参软糯Q弹；葱香浓郁；汤汁浓稠,通用,宴席,无,乌庄头年货中列海参,罕见,★★★★★,720,★★,★,★,★,0,72,焯水,5,3,文火,15,60,★★★,★★,30,30,★,★★★,15,★★,★,★★★,中脂,宴席,★★★,乌庄头年货中列海参，显示贾府年货丰盛
鸡丝蒿子秆,菜肴,第六十一回,春秋季,蒿子秆春秋两季为佳,炒制,铁锅/炒锅,咸鲜,禽肉/蔬菜,鸡胸肉/蒿子秆,油/盐/蒜末/料酒/淀粉,鸡丝嫩滑；蒿子秆爽脆；色泽清新,通用,日常,晴雯,晴雯点名要吃的菜,常见,★★,12,★★,★,★,★★★,0,0,无,5,3,猛火,25,30,★★,★★★★,10,1,★,★★,10,★★,★,★★★,低脂,日常,★★★★,晴雯点名要吃，柳家的殷勤伺候
糟鹌鹑,菜肴,第五十回,冬季,糟货四季可食，冬日佐酒尤佳,糟制,瓦罐,糟香,禽肉,鹌鹑,糟卤/黄酒/盐/香料,色泽淡黄；肉质紧实；糟香浓郁,通用,佐酒,贾母/李纨,贾母在芦雪庭赏雪时的下酒菜,常见,★★★,720,★★,★,★★★,★,24,0,焯水,3,2,文火,20,720,★★,★,720,30,★,★★★,25,★,★★,★★,低脂,佐酒,★★★★,贾母命撕一点腿儿来，李纨洗手亲撕
碧粳粥,主食粥饭,第八回,四季,粥品四季皆宜,熬煮,砂锅,米香,谷物,碧粳米,清水,粥色微绿；米香浓郁；口感绵滑,通用,日常,贾宝玉,宝玉在薛姨妈家用过晚饭后的主食,贡品,★★★★,720,★,★,★,★,0,0,无,2,1,文火,5,60,★★,★,30,2,★,★,10,★★,★,★,低脂,日常,★★★,宝玉“又吃了半碗多碧粳粥”
枣熬粳米粥,主食粥饭,第五十四回,冬季,红枣温补，冬日暖身尤佳,熬煮,砂锅,甜香,谷物/果品,粳米/红枣,冰糖/清水,粥色微红；枣香浓郁；米粒开花,通用,节庆,贾母/王熙凤,贾母元宵夜宴时预备的粥品,常见,★★,720,★,★★,★,★,0,0,无,3,1,文火,10,60,★★,★,30,2,★,★,15,★★★,★,★★★,低脂,节庆,★★★,贾母说“我吃些清淡的”，凤姐即备此粥
红稻米粥,主食粥饭,第七十五回,四季,红稻米四季可食，较为珍贵,熬煮,砂锅,米香,谷物,红稻米,清水,粥色紫红；米香独特；口感黏糯,通用,日常,贾母/尤氏/王熙凤,贾母晚餐时的粥品,贡品,★★★★,720,★,★,★,★,0,0,无,2,1,文火,5,60,★★,★,30,2,★,★,10,★★,★,★,低脂,日常,★★★★,尤氏捧给贾母，贾母吃了半碗命送给凤姐
燕窝粥,主食粥饭,第四十五回,秋冬季,燕窝四季可食，秋冬进补更佳,熬煮,银锅/砂锅,清甜,药膳,燕窝/粳米,冰糖/清水,粥色晶莹；燕窝丝滑；口味清甜,病患,日常,林黛玉/薛宝钗,宝钗劝黛玉日常调理时推荐的方子,珍贵,★★★★★,720,★★,★,★,★,0,6,无,3,1,文火,20,90,★★★,★,30,2,★,★,10,★★,★,★★★★,低脂,养生,★★★★★,宝钗劝黛玉“比药还强，最是滋阴补气”
腊八粥,主食粥饭,第十九回,冬季,腊八节特定食品,熬煮,砂锅,香甜,谷物/果品/干果,多种谷物/干果/果仁,冰糖/清水,粥色丰富；口感多元；香甜软糯,通用,节庆,林黛玉/贾宝玉,提及腊八节暗示有此粥品,节庆,★★,720,★★,★★,★,★,0,12,无,5,1,文火,30,120,★★★,★★★,30,3,★,★,20,★★★★,★,★★★★,低脂,节庆,★★★,黛玉笑宝玉编“耗子精”故事中提到
鸭子肉粥,主食粥饭,第五十四回,冬季,鸭肉滋阴，冬日暖身,熬煮,砂锅,咸鲜,禽肉/谷物,鸭肉/粳米,姜丝/盐/葱花/料酒,粥色微黄；鸭肉酥烂；咸鲜适口,通用,节庆,贾母,贾母元宵夜宴时预备的粥品,常见,★★,24,★★,★,★★★,★,0,0,焯水,4,2,文火,20,90,★★,★★,30,2,★,★★,20,★★★,★,★★★,中脂,节庆,★★★,贾母夜宴时备此粥
江米粥,主食粥饭,第八十七回,四季,江米（糯米）粥四季皆宜,熬煮,砂锅,清淡,谷物,江米,清水/少许糖,粥色洁白；米香浓郁；口感黏糯,病患,病中,林黛玉,黛玉病中紫鹃安排的粥品,常见,★★,720,★,★,★,★,0,0,无,2,1,文火,5,60,★★,★,30,2,★,★,10,★★,★,★,低脂,病中,★★★,黛玉病中喝江米粥
绿畦香稻粳米饭,主食粥饭,第六十二回,四季,米饭四季皆为主食,蒸煮,蒸笼/铁锅,米香,谷物,香稻粳米,清水,米饭色泽清白；米香扑鼻；颗粒分明,通用,日常,贾宝玉/芳官,芳官给宝玉送饭中的主食,贡品,★★★★,720,★,★,★,★,0,0,无,2,1,中火,10,40,★★,★★,30,2,★,★,10,★★★,★,★,低脂,日常,★★★,芳官说“油腻腻的，谁吃这些东西”
粳米饭,主食粥饭,第六十二回,四季,米饭四季皆为主食,蒸煮,蒸笼/铁锅,米香,谷物,粳米,清水,米饭色泽清白；米香扑鼻,通用,日常,贾宝玉,芳官给宝玉送饭中的主食,常见,★★,720,★,★,★,★,0,0,无,2,1,中火,10,40,★★,★★,30,2,★,★,10,★★★,★,★,低脂,日常,★★,日常主食
银丝挂面,主食粥饭,无明确回目,四季,寿面四季皆可，生日特定,煮,铁锅,麦香,谷物,面粉,盐/水/鸡蛋/碱水,面条细如银丝；口感筋道；麦香纯正,通用,寿宴,贾母,作为寿礼出现的面食,常见,★★,720,★,★,★,★★★★,0,0,无,5,2,中火,30,60,★★,★★,20,7,★,★★,15,★★★,★,★★,中脂,寿宴,★★★,贾母寿辰时王子腾送的寿礼中有“银丝挂面”
元宵,主食粥饭,第五十三回,冬季,元宵节特定食品,煮,铁锅,甜香,谷物,糯米粉,馅料/糖/清水,外皮软糯；馅料香甜；汤清味美,通用,节庆,贾母,贾府元宵夜宴时献上的食品,节庆,★★,48,★,★,★,★★,0,0,无,4,2,中火,30,40,★★,★★,20,3,★,★★,15,★★★★,★,★★,高糖,节庆,★★★★,贾母元宵夜宴“献元宵”
茶面子,主食粥饭,第七十五回,冬季,炒面茶冬日暖身更佳,冲调,碗/开水壶,香甜,谷物,面粉,芝麻/糖/开水,香甜浓郁；口感顺滑；温暖暖胃,通用,日常,李纨,李纨提及的饮品,常见,★★,720,★,★,★,★★,0,0,无,3,2,文火,15,30,★,★★,20,30,★,★,5,★★,★,★★,中脂,日常,★★★,李纨说“昨日人家送来的好茶面子”
奶子糖粳米粥,主食粥饭,无明确回目,四季,粥品四季皆宜，奶香滋补,熬煮,砂锅,奶香/甜润,谷物/乳制品,鲜牛奶/粳米,糖/清水,粥色乳白；奶香浓郁；甜润柔滑,通用,日常,无,推测为早餐或病中补品,常见,★★,24,★,★,★,★,0,0,无,3,1,文火,10,50,★★,★★,30,2,★,★,10,★★,★,★★★,中脂,日常,★★,书中多次提及“奶子”和粳米粥
冰糖燕窝粥,主食粥饭,第四十五回,秋冬季,燕窝粥四季可食，秋冬更佳,熬煮,银锅/砂锅,清甜,药膳,燕窝/粳米,冰糖/清水,燕窝丝滑清甜；粥色晶莹,病患,病中,林黛玉/薛宝钗,燕窝粥的加糖版本,珍贵,★★★★★,720,★★,★,★,★,0,6,无,3,1,文火,20,90,★★★,★,30,2,★,★,10,★★,★,★★★★,低脂,病中,★★★★,宝钗推荐黛玉吃燕窝粥
奶汤棋子面,主食粥饭,无明确回目,四季,面食四季皆宜,煮,铁锅,奶香/咸鲜,谷物/乳制品,面粉/鸡蛋/鲜牛奶,盐/高汤,面条筋道；奶汤浓郁；咸鲜适口,通用,日常,无,推测为贵族日常面食,常见,★★,48,★★,★,★,★★★,0,0,无,5,2,中火,45,60,★★,★★,20,3,★,★★,15,★★★,★,★★★,中脂,日常,★★,书中提及“奶子”和“棋子面”
豆腐皮包子,点心,第八回,四季,包子四季皆可，豆腐皮为日常食材,蒸,蒸笼,咸鲜,蔬菜/豆制品,豆腐皮,馅料/酱油/料酒/盐/姜末/香油,外皮柔韧；馅料鲜香；口感丰富,通用,日常,贾宝玉/晴雯,宝玉在宁府吃饭时想到给晴雯带的包子,常见,★★,24,★★,★,★,★★,0,0,无,5,3,中火,30,50,★★,★★,20,2,★,★★,15,★★★,★,★★★,中脂,日常,★★★★,宝玉想着晴雯爱吃，叫人送回来，却被李嬷嬷吃了
枣泥馅山药糕,点心,第十一回,秋冬季,山药秋冬收获，糕品四季可食,蒸,蒸笼/模具,甜香,蔬菜/果品,山药/红枣,糯米粉/糖,糕体洁白绵软；枣泥馅暗红香甜,病患,病中,贾母/秦可卿,贾母赏给秦可卿的糕点,常见,★★,48,★★,★★★★,★,★★,0,0,无,5,3,中火,40,70,★★★,★★,30,3,★★,★★,20,★★★,★,★★★,中糖,病中,★★★★,秦可卿病中贾母赏此糕，她说“克化的动”
糖蒸酥酪,点心,第十九回,夏季,酥酪为乳制品，夏季清凉尤佳,蒸制,蒸笼,奶香/酸甜,乳制品,鲜牛奶,米酒或醪糟/糖,洁白如脂；口感滑嫩；奶香中带微酒香,通用,日常,贾宝玉/袭人/李嬷嬷,贾妃赐给宝玉的宫中食品,宫廷,★★★★,24,★,★,★,★,12,0,无,4,2,文火,15,60,★★,★★,30,2,★,★★,10,★★,★,★★★,中脂,宫廷,★★★★,贾妃赐出酥酪，宝玉留给袭人，李嬷嬷赌气吃了
酥酪,点心,第十九回,夏季,酥酪为乳制品，夏季清凉尤佳,蒸制,蒸笼,奶香/酸甜,乳制品,鲜牛奶,米酒或醪糟/糖,洁白如脂；口感滑嫩；奶香中带微酒香,通用,日常,贾宝玉/袭人/李嬷嬷,与糖蒸酥酪为同一物,宫廷,★★★★,24,★,★,★,★,12,0,无,4,2,文火,15,60,★★,★★,30,2,★,★★,10,★★,★,★★★,中脂,宫廷,★★★★,与糖蒸酥酪为同一物
松瓤鹅油卷,点心,第四十一回,四季,酥皮点心四季皆可,烘烤,烤炉,酥香/甜香,谷物/禽肉,面粉/鹅油/松子仁,糖/馅料,外皮酥松起层；内馅香甜；松子香脆,通用,宴席,贾母/刘姥姥,贾母在大观园设宴时的点心之一,特制,★★★,72,★★,★,★,★★★,0,0,无,6,4,中火,60,120,★★★★,★★★,60,5,★★,★★,15,★★★,★,★★★,高脂,宴席,★★★★,刘姥姥觉得“舍不得吃，包些家去”
奶油松瓤卷酥,点心,第六十二回,四季,酥皮点心四季皆可,烘烤,烤炉,奶香/酥香,谷物/乳制品,面粉/奶油/松子仁,糖/鸡蛋,外皮酥脆；奶油香浓；松仁香脆,通用,日常,贾宝玉/芳官,芳官给宝玉送饭中的点心,常见,★★★,72,★★,★,★,★★★,0,0,无,5,4,中火,40,90,★★★★,★★★,60,5,★★,★★,10,★★★,★,★★★,高脂,日常,★★★,芳官给宝玉送来的饭食中包含此物
桂花糖蒸新栗粉糕,点心,第三十七回,秋季,新栗子秋日上市，时令糕点,蒸,蒸笼/模具,桂花香/甜糯,谷物/干果,新栗子/糯米粉,桂花糖/糖/清水,糕体金黄；桂花香气扑鼻；口感软糯,通用,日常,贾宝玉/史湘云,袭人给史湘云送去的点心,时令,★★★,48,★★,★★★★,★,★★,0,0,无,5,3,中火,50,80,★★★,★★,30,3,★★,★★,20,★★★,★,★★★,中糖,日常,★★★★,宝玉送此糕给湘云，显示对湘云的惦记
藕粉桂花糖糕,点心,第四十一回,夏季,藕粉清凉，夏季尤佳,蒸,蒸笼/模具,桂花香/清甜,谷物,藕粉/糯米粉,桂花糖/糖/清水,糕体半透明；藕香与桂花香交织；口感软糯清甜,通用,宴席,贾母/刘姥姥,贾母在大观园设宴时的蒸食之一,常见,★★,48,★★,★,★,★★,0,0,无,4,3,中火,20,40,★★,★★,30,2,★★,★★,15,★★,★,★★★,低脂,宴席,★★★,贾母宴席上的蒸食之一
菱粉糕,点心,第三十九回,夏季,菱粉清凉，夏季消暑佳,蒸,蒸笼/模具,清甜,谷物,菱粉/糯米粉,糖/清水,糕体洁白；口感清凉软糯；微有菱角清香,通用,日常,王熙凤,舅太太送给凤姐的点心,常见,★★,48,★★,★,★,★★,0,0,无,4,3,中火,20,40,★★,★★,30,2,★★,★★,15,★★,★,★★★,低脂,日常,★★★,舅太太送菱粉糕和鸡油卷儿给凤姐
鸡油卷儿,点心,第三十九回,四季,咸香酥点四季皆可,蒸或烘烤,蒸笼或烤炉,咸香,谷物/禽肉,面粉/鸡油,盐/葱花,外皮酥松；鸡油香气浓郁；咸香适口,通用,日常,王熙凤,舅太太送给凤姐的点心,常见,★★,48,★★,★,★,★★,0,0,无,5,3,中火,30,60,★★★,★★,60,5,★★,★★,10,★★,★,★★★,中脂,日常,★★★,与菱粉糕一同作为礼物
奶油炸各色小面果,点心,第四十一回,四季,炸面果四季皆可,油炸,油锅,奶香/甜香,谷物/乳制品,面粉/奶油/糖,鸡蛋/炸油,造型精致多样；外酥内软；奶油香浓,通用,宴席,贾母/刘姥姥,贾母宴席上的炸点心之一,特制,★★★,48,★★,★,★,★★★★,0,0,无,6,4,猛火,60,80,★★★,★★★★,20,3,★★★★,★★,10,★★★,★,★★★,高脂,宴席,★★★★,刘姥姥拣了一朵牡丹花样的，说“包些家去”
吉祥果,点心,第五十三回,冬季,除夕春节特定食品,油炸或烘烤,油锅或烤炉,甜香,谷物,面粉/糖,油脂/果料,口味香甜；造型吉祥；口感酥脆或软糯,通用,节庆,贾母,贾府除夕合欢宴上的果品之一,节庆,★★,48,★★,★,★,★★★,0,0,无,5,3,中火,40,60,★★★,★★★,60,7,★★★,★★,15,★★★,★,★★,高脂,节庆,★★★★,除夕合欢宴“献吉祥果/如意糕”
如意糕,点心,第五十三回,冬季,除夕春节特定食品,蒸,蒸笼/模具,甜香,谷物,糯米粉/豆沙馅,糖,糕体洁白软糯；形状如如意；馅料香甜,通用,节庆,贾母,贾府除夕合欢宴上的糕点之一,节庆,★★,48,★★,★,★,★★★,0,0,无,5,3,中火,25,50,★★★,★★,30,3,★★★,★★,20,★★★,★,★★★,高糖,节庆,★★★★,与吉祥果一同出现在除夕合欢宴
梅花香饼儿,点心,第十九回,冬季,梅花冬季开放，取其香入饼,烘烤,烤炉,花香/甜香,谷物,面粉,糖/油脂/梅花香料,造型小巧；梅香清雅；甜香适口,通用,日常,贾宝玉/袭人,袭人从荷包中取出的香饼,特制,★★★,72,★★,★,★,★★★,0,0,无,5,4,中火,30,60,★★★,★★★,60,7,★★,★★,5,★,★,★★,高脂,日常,★★★★,袭人取梅花香饼儿给宝玉
热糕,点心,第六十回,四季,热糕四季常见,蒸,蒸笼,米香/甜香,谷物,米粉或面粉,糖/发酵剂,糕体松软；热乎香甜；口感绵密,通用,日常,芳官/小蝉,小蝉让婆子买来的点心,常见,★★,24,★★,★,★,★★,0,0,无,4,2,中火,15,30,★★,★★,30,2,★,★★,10,★★,★,★★,低脂,日常,★★★,小蝉让婆子买糕，芳官戏言要尝
月饼,点心,第七十五回,秋季,中秋节特定食品,烘烤,烤炉/模具,甜香,谷物,面粉,糖/油脂/馅料,外皮酥松；馅料香甜；口味丰富,通用,节庆,贾母/贾珍,贾珍送给贾母的节礼之一,节庆,★★,72,★★,★,★,★★★,0,0,无,6,3,中火,30,60,★★★,★★★,60,14,★★,★★,15,★★★,★,★★★,高脂,节庆,★★★★,贾珍送月饼给贾母，贾母评价“倒好”
蒸芋头,点心,第五十回,秋冬季,芋头秋冬收获，时令蒸食,蒸,蒸笼,清淡/软糯,蔬菜,芋头,清水,芋头软糯；入口绵密；微有清香,通用,日常,贾母/李纨,贾母在芦雪庭赏雪时的食品之一,常见,★★,720,★★★★,★★★★,★,★,0,0,无,2,1,中火,10,30,★★,★★,30,3,★★,★★,20,★★,★,★,低脂,日常,★★★★,李纨命人将蒸的大芋头盛了一盘
螃蟹馅炸饺子,点心,第四十一回,秋季,蟹粉入馅，秋蟹季节限定,油炸,油锅,咸鲜/蟹香,水产/谷物,面粉/螃蟹肉,姜末/炸油/盐/料酒,外皮金黄酥脆；内馅蟹香浓郁；咸鲜适口,通用,宴席,贾母,贾母宴席上的炸点心之一,时令,★★★★,24,★★,★,★★★★,★★★,0,0,无,6,4,猛火,60,80,★★★,★★★★,20,2,★★★,★★★,15,★★★,★★,★★★★,中脂,宴席,★★★,贾母说“这会子油腻腻的，谁吃这个”
