名称,类别,出现回目,季节判断,时令说明,菜品背景,主要食材,成品特点,文学隐喻,备注
炸鹌鹑,菜肴,第四十六回,四季,炸制品四季皆可,凤姐提及舅母送来的礼物,"鹌鹑；盐；花椒粉；料酒；姜汁；面粉或淀粉","外皮酥脆；内部肉质细嫩；椒盐咸香","舅母送两笼子鹌鹑，凤姐吩咐炸了",
野鸡瓜,菜肴,第四十九回,秋冬季,野鸡秋冬季肥美，家常小炒四季可食,宝玉在贾母处匆忙吃饭时佐餐,"野鸡肉；黄瓜或冬瓜；盐；酱油；料酒；姜末；葱末","鸡丁嫩滑；瓜丁爽脆；色泽清新","宝玉用茶泡饭就着野鸡瓜子吃",
烧野鸡,菜肴,第二十回,秋冬季,野鸡秋冬肥美，红烧暖身,李嬷嬷为哄宝玉所说的话中提及,"野鸡；酱油；糖；料酒；姜；葱；八角","色泽红亮；肉质酥烂；咸甜适口","李嬷嬷说“我屋里烧的滚热的野鸡”",
鸽子蛋,菜肴,第四十回,四季,四季皆有，宴席常用,刘姥姥进大观园时凤姐捉弄她的道具,"鸽子蛋","蛋白晶莹剔透；蛋黄细腻；个头小巧","凤姐说“一两银子一个呢”",
笼蒸螃蟹,菜肴,第三十八回,秋季,秋深蟹肥，时令性极强,史湘云做东在藕香榭设螃蟹宴,"螃蟹；姜；醋；紫苏叶","蟹壳红亮；蟹黄饱满；蟹肉鲜甜","湘云做东请贾母等赏桂花吃螃蟹",
火腿鲜笋汤,汤羹,第五十八回,春季,春笋为春季时令食材，鲜美无比,宝玉病后饮食中的一道汤,"火腿；鲜笋；姜片；料酒；盐；清水或高汤","汤色清亮；火腿咸香；笋片脆嫩","宝玉病后饮食清淡，此汤正合宜",
火肉白菜汤,汤羹,第八十七回,秋冬季,白菜秋冬最甜，家常汤品,黛玉病中紫鹃安排厨房做的汤,"火肉；白菜；虾米；青笋；紫菜；盐","汤色清澈；菜叶碧绿；火腿咸鲜；虾米提味","黛玉病中紫鹃安排此汤，体现主仆情深",
建莲红枣汤,汤羹,第五十二回,四季,莲子红枣四季可食，秋冬暖身更佳,宝玉出门前喝的早汤,"建莲；红枣；冰糖；清水","汤色红润；莲子粉糯；红枣香甜","宝玉出门前喝了两口，显示贵族日常细致",
板栗烧野鸡,菜肴,无明确回目,秋季,板栗秋熟，野鸡秋肥，时令搭配,推测为秋冬时令菜,"野鸡；板栗；酱油；糖；料酒；姜；葱；八角","色泽红亮；鸡肉酥烂；板栗绵糯香甜","书中分别提及板栗和野鸡",
油盐炒枸杞芽,菜肴,第六十一回,春季,枸杞芽为春季时令野菜,探春和宝钗偶然想吃的小菜,"枸杞芽；油；盐；蒜末","色泽碧绿；口感爽脆；味道清鲜","探春、宝钗商议要吃，显示贵族小姐追求清淡",
葱煨海参,菜肴,无明确回目,四季,海参为干货，四季可食，宴席常备,海参作为贵重食材在贾府出现,"海参；大葱；高汤；酱油；料酒；糖；姜片","海参软糯Q弹；葱香浓郁；汤汁浓稠","乌庄头年货中列海参，显示贾府年货丰盛",
鸡丝蒿子秆,菜肴,第六十一回,春秋季,蒿子秆春秋两季为佳,晴雯点名要吃的菜,"鸡胸肉；蒿子秆；油；盐；蒜末；料酒；淀粉","鸡丝嫩滑；蒿子秆爽脆；色泽清新","晴雯点名要吃，柳家的殷勤伺候",
糟鹌鹑,菜肴,第五十回,冬季,糟货四季可食，冬日佐酒尤佳,贾母在芦雪庭赏雪时的下酒菜,"鹌鹑；糟卤；黄酒；盐；香料","色泽淡黄；肉质紧实；糟香浓郁","贾母命撕一点腿儿来，李纨洗手亲撕",
碧粳粥,主食粥饭,第八回,四季,粥品四季皆宜,宝玉在薛姨妈家用过晚饭后的主食,"碧粳米；清水","粥色微绿；米香浓郁；口感绵滑","宝玉“又吃了半碗多碧粳粥”",
枣熬粳米粥,主食粥饭,第五十四回,冬季,红枣温补，冬日暖身尤佳,贾母元宵夜宴时预备的粥品,"粳米；红枣；冰糖；清水","粥色微红；枣香浓郁；米粒开花","贾母说“我吃些清淡的”，凤姐即备此粥",
红稻米粥,主食粥饭,第七十五回,四季,红稻米四季可食，较为珍贵,贾母晚餐时的粥品,"红稻米；清水","粥色紫红；米香独特；口感黏糯","尤氏捧给贾母，贾母吃了半碗命送给凤姐",
燕窝粥,主食粥饭,第四十五回,秋冬季,燕窝四季可食，秋冬进补更佳,宝钗劝黛玉日常调理时推荐的方子,"燕窝；冰糖；粳米；清水","粥色晶莹；燕窝丝滑；口味清甜","宝钗劝黛玉“比药还强，最是滋阴补气”",
腊八粥,主食粥饭,第十九回,冬季,腊八节特定食品,提及腊八节暗示有此粥品,"多种谷物；干果；果仁；冰糖；清水","粥色丰富；口感多元；香甜软糯","黛玉笑宝玉编“耗子精”故事中提到",
鸭子肉粥,主食粥饭,第五十四回,冬季,鸭肉滋阴，冬日暖身,贾母元宵夜宴时预备的粥品,"鸭肉；粳米；姜丝；盐；葱花；料酒","粥色微黄；鸭肉酥烂；咸鲜适口","贾母夜宴时备此粥",
江米粥,主食粥饭,第八十七回,四季,江米（糯米）粥四季皆宜,黛玉病中紫鹃安排的粥品,"江米；清水；少许糖","粥色洁白；米香浓郁；口感黏糯","黛玉病中喝江米粥",
绿畦香稻粳米饭,主食粥饭,第六十二回,四季,米饭四季皆为主食,芳官给宝玉送饭中的主食,"香稻粳米；清水","米饭色泽清白；米香扑鼻；颗粒分明","芳官说“油腻腻的，谁吃这些东西”",
粳米饭,主食粥饭,第六十二回,四季,米饭四季皆为主食,芳官给宝玉送饭中的主食,"粳米；清水","米饭色泽清白；米香扑鼻","日常主食",
银丝挂面,主食粥饭,无明确回目,四季,寿面四季皆可，生日特定,作为寿礼出现的面食,"面粉；盐；水；鸡蛋；碱水","面条细如银丝；口感筋道；麦香纯正","贾母寿辰时王子腾送的寿礼中有“银丝挂面”",
元宵,主食粥饭,第五十三回,冬季,元宵节特定食品,贾府元宵夜宴时献上的食品,"糯米粉；馅料；糖；清水","外皮软糯；馅料香甜；汤清味美","贾母元宵夜宴“献元宵”",
茶面子,主食粥饭,第七十五回,冬季,炒面茶冬日暖身更佳,李纨提及的饮品,"面粉；芝麻；糖；开水","香甜浓郁；口感顺滑；温暖暖胃","李纨说“昨日人家送来的好茶面子”",
奶子糖粳米粥,主食粥饭,无明确回目,四季,粥品四季皆宜，奶香滋补,推测为早餐或病中补品,"鲜牛奶；粳米；糖；清水","粥色乳白；奶香浓郁；甜润柔滑","书中多次提及“奶子”和粳米粥",
冰糖燕窝粥,主食粥饭,第四十五回,秋冬季,燕窝粥四季可食，秋冬更佳,燕窝粥的加糖版本,"燕窝；冰糖；粳米；清水","燕窝丝滑清甜；粥色晶莹","宝钗推荐黛玉吃燕窝粥",
奶汤棋子面,主食粥饭,无明确回目,四季,面食四季皆宜,推测为贵族日常面食,"面粉；鸡蛋；鲜牛奶；盐；高汤","面条筋道；奶汤浓郁；咸鲜适口","书中提及“奶子”和“棋子面”",
豆腐皮包子,点心,第八回,四季,包子四季皆可，豆腐皮为日常食材,宝玉在宁府吃饭时想到给晴雯带的包子,"豆腐皮；馅料；酱油；料酒；盐；姜末；香油","外皮柔韧；馅料鲜香；口感丰富","宝玉想着晴雯爱吃，叫人送回来，却被李嬷嬷吃了",
枣泥馅山药糕,点心,第十一回,秋冬季,山药秋冬收获，糕品四季可食,贾母赏给秦可卿的糕点,"山药；红枣；糯米粉；糖","糕体洁白绵软；枣泥馅暗红香甜","秦可卿病中贾母赏此糕，她说“克化的动”",
糖蒸酥酪,点心,第十九回,夏季,酥酪为乳制品，夏季清凉尤佳,贾妃赐给宝玉的宫中食品,"鲜牛奶；米酒或醪糟；糖","洁白如脂；口感滑嫩；奶香中带微酒香","贾妃赐出酥酪，宝玉留给袭人，李嬷嬷赌气吃了",
酥酪,点心,第十九回,夏季,酥酪为乳制品，夏季清凉尤佳,贾妃赐给宝玉的宫中食品,"鲜牛奶；米酒或醪糟；糖","洁白如脂；口感滑嫩；奶香中带微酒香","与糖蒸酥酪为同一物",
松瓤鹅油卷,点心,第四十一回,四季,酥皮点心四季皆可,贾母在大观园设宴时的点心之一,"面粉；鹅油；松子仁；糖；馅料","外皮酥松起层；内馅香甜；松子香脆","刘姥姥觉得“舍不得吃，包些家去”",
奶油松瓤卷酥,点心,第六十二回,四季,酥皮点心四季皆可,芳官给宝玉送饭中的点心,"面粉；奶油；松子仁；糖；鸡蛋","外皮酥脆；奶油香浓；松仁香脆","芳官给宝玉送来的饭食中包含此物",
桂花糖蒸新栗粉糕,点心,第三十七回,秋季,新栗子秋日上市，时令糕点,袭人给史湘云送去的点心,"新栗子；糯米粉；桂花糖；糖；清水","糕体金黄；桂花香气扑鼻；口感软糯","宝玉送此糕给湘云，显示对湘云的惦记",
藕粉桂花糖糕,点心,第四十一回,夏季,藕粉清凉，夏季尤佳,贾母在大观园设宴时的蒸食之一,"藕粉；糯米粉；桂花糖；糖；清水","糕体半透明；藕香与桂花香交织；口感软糯清甜","贾母宴席上的蒸食之一",
菱粉糕,点心,第三十九回,夏季,菱粉清凉，夏季消暑佳,舅太太送给凤姐的点心,"菱粉；糯米粉；糖；清水","糕体洁白；口感清凉软糯；微有菱角清香","舅太太送菱粉糕和鸡油卷儿给凤姐",
鸡油卷儿,点心,第三十九回,四季,咸香酥点四季皆可,舅太太送给凤姐的点心,"面粉；鸡油；盐；葱花","外皮酥松；鸡油香气浓郁；咸香适口","与菱粉糕一同作为礼物",
奶油炸各色小面果,点心,第四十一回,四季,炸面果四季皆可,贾母宴席上的炸点心之一,"面粉；奶油；糖；鸡蛋；炸油","造型精致多样；外酥内软；奶油香浓","刘姥姥拣了一朵牡丹花样的，说“包些家去”",
吉祥果,点心,第五十三回,冬季,除夕春节特定食品,贾府除夕合欢宴上的果品之一,"面粉；糖；油脂；果料","口味香甜；造型吉祥；口感酥脆或软糯","除夕合欢宴“献吉祥果、如意糕”",
如意糕,点心,第五十三回,冬季,除夕春节特定食品,贾府除夕合欢宴上的糕点之一,"糯米粉；豆沙馅；糖","糕体洁白软糯；形状如如意；馅料香甜","与吉祥果一同出现在除夕合欢宴",
梅花香饼儿,点心,第十九回,冬季,梅花冬季开放，取其香入饼,袭人从荷包中取出的香饼,"面粉；糖；油脂；梅花香料","造型小巧；梅香清雅；甜香适口","袭人取梅花香饼儿给宝玉",
热糕,点心,第六十回,四季,热糕四季常见,小蝉让婆子买来的点心,"米粉或面粉；糖；发酵剂","糕体松软；热乎香甜；口感绵密","小蝉让婆子买糕，芳官戏言要尝",
月饼,点心,第七十五回,秋季,中秋节特定食品,贾珍送给贾母的节礼之一,"面粉；糖；油脂；馅料","外皮酥松；馅料香甜；口味丰富","贾珍送月饼给贾母，贾母评价“倒好”",
蒸芋头,点心,第五十回,秋冬季,芋头秋冬收获，时令蒸食,贾母在芦雪庭赏雪时的食品之一,"芋头；清水","芋头软糯；入口绵密；微有清香","李纨命人将蒸的大芋头盛了一盘",
螃蟹馅炸饺子,点心,第四十一回,秋季,蟹粉入馅，秋蟹季节限定,贾母宴席上的炸点心之一,"面粉；螃蟹肉；姜末；炸油；盐；料酒","外皮金黄酥脆；内馅蟹香浓郁；咸鲜适口","贾母说“这会子油腻腻的，谁吃这个”",
荷叶莲蓬汤,汤羹,第三十五回,夏季,荷叶莲蓬为夏季时令食材,宝玉挨打后想吃的一道汤,"鲜荷叶；鲜莲蓬；鲜藕；冰糖或盐；清水","汤色清碧；荷香四溢；清甜或咸鲜","宝玉挨打后想吃此汤，凤姐说“口味不算高贵，只是太磨牙”",
莲叶羹,汤羹,第三十五回,夏季,同上,即“荷叶莲蓬汤”的别称,"鲜荷叶；鲜莲蓬；鲜藕；冰糖或盐；清水","汤色清碧；荷香四溢；清甜或咸鲜","同上",
合欢汤,汤羹,第五十三回,冬季,除夕春节特定汤品,贾府除夕合欢宴上的汤品,"合欢花；冰糖；清水","汤色淡红；花香清雅；清甜润口","除夕合欢宴上取“合欢”之意，象征团圆和睦",
桂圆汤,汤羹,第九十八回,四季,滋补安神，四季可食,王夫人端给宝玉的汤品,"桂圆；冰糖；清水","汤色清亮；桂圆甜润","王夫人叫人端桂圆汤给宝玉喝",
疗妒汤,汤羹,第八十回,四季,润肺开胃，四季可食,王一贴胡诌的方子,"秋梨；冰糖；陈皮","清甜润肺","王一贴戏说“吃过一百岁，人死了还妒什么”",
枫露茶,饮品,第八回,四季,茶品四季皆饮,宝玉早起沏的茶,"枫露茶；沸水","茶汤色泽特别；香气独特；回味甘醇","宝玉早起沏了此茶，李嬷嬷喝了惹宝玉生气",
千红一窟,饮品,第五回,四季,太虚幻境仙茶，超越时令,宝玉在太虚幻境品尝的仙茶,"仙花灵叶上的宿露","茶香清奇；非人间所有；名含深意","警幻仙姑以仙茶款待宝玉，暗示“千红一哭”",
暹罗茶,饮品,第二十五回,四季,进口茶品四季可饮,凤姐提到的外国进贡茶,"暹罗茶叶；沸水","异域茶香；口感可能偏淡或特殊","凤姐说“那是暹罗国进贡的”",
六安茶,饮品,第四十一回,四季,名茶四季皆宜,贾母在栊翠庵品茶时点名不喝的茶,"六安瓜片；沸水","茶汤清绿；香气清高；滋味醇厚","贾母说“我不吃六安茶”，显示对身体（怕寒凉）的了解",
老君眉,饮品,第四十一回,四季,发酵茶性温和，四季皆宜,妙玉专门为贾母准备的一款茶,"老君眉；沸水","茶汤红亮；香气醇和；滋味甘醇","妙玉知道贾母不吃六安茶，准备了老君眉",
木樨清露,饮品,第三十四回,秋季,桂花秋季开放，露可四季饮用,王夫人给宝玉的香露之一,"桂花蒸馏香露；凉开水或冰水","香气清雅如桂花；色泽清澈；口感清甜","王夫人说“一碗水里只挑上一茶匙，就香的了不得”",
玫瑰清露,饮品,第三十四回,夏季,玫瑰春夏季开放，露可四季饮用,王夫人给宝玉的香露之一,"玫瑰蒸馏香露；凉开水或冰水","玫瑰香浓郁；色泽淡红；清甜适口","与木樨清露一同送给宝玉",
酸梅汤,饮品,第三十四回,夏季,酸梅汤为夏季消暑特饮,宝玉挨打后想喝的饮品,"乌梅；山楂；甘草；冰糖；桂花；清水","汤色红褐；酸甜适口；冰镇更佳","宝玉挨打后“只嚷干渴，要吃酸梅汤”，袭人怕收敛热毒没给吃",
玫瑰露,饮品,第六十回,夏季,玫瑰露清凉消夏，四季可饮,芳官送给柳五儿的饮品,"玫瑰蒸馏香露；凉开水或冰水","玫瑰香浓郁；色泽艳丽；清甜可口","芳官将半瓶玫瑰露送给柳五儿",
惠泉酒,饮品,第十六回,四季,黄酒四季可饮，冬日温饮尤佳,贾琏从南方带来的酒品,"惠泉黄酒","酒色琥珀；酒香醇厚；口感甘润","贾琏带惠泉酒回家，凤姐让赵嬷嬷尝",
屠苏酒,饮品,第五十三回,冬季,春节特定药酒,贾府除夕合欢宴上的酒品,"药材；白酒或黄酒","药香与酒香融合；微苦回甘；暖身驱寒","除夕合欢宴“献屠苏酒”",
合欢酒,饮品,第三十八回,四季,合欢花夏季开，酒可四季饮,黛玉吃蟹后要求喝的酒,"合欢花；白酒","酒色微黄；花香清雅；酒味温和","黛玉吃蟹后要喝热烧酒，宝玉命烫合欢花浸的酒",
黄酒,饮品,第三十八回,秋季,黄酒温饮暖身，螃蟹宴必备,螃蟹宴上众人所饮之酒,"黄酒","酒色琥珀；酒香醇厚；口感甘润","螃蟹宴上众人饮黄酒",
烧酒,饮品,第三十八回,冬季,高度烧酒暖身驱寒，秋冬尤佳,黛玉要求喝的高度酒,"高粱酒或白酒","酒性猛烈；入口辛辣；后劲足","黛玉体质虚寒，吃蟹后要喝烧酒驱寒",
糖腌玫瑰卤子,饮品,第三十四回,夏季,玫瑰卤四季可冲，夏季清凉,袭人给宝玉调的饮品,"玫瑰花瓣；糖","香甜浓郁；玫瑰花香突出；色泽艳丽","宝玉挨打后袭人用此给他调水喝，嫌“吃絮了”",
洁粉梅片雪花洋糖,饮品,第四十五回,四季,糖果四季可食,宝钗派人送给黛玉的礼物之一,"冰糖","糖体洁白如雪；甜味纯正；质地细腻","宝钗派人送燕窝时一并送来",
牛奶茯苓霜,补品补食,第六十回,四季,补品四季可服,柳五儿给侄儿带去的补品,"茯苓；鲜牛奶","质地细腻洁白；奶香与茯苓淡香融合","柳家的将此物带给侄儿",
牛奶,饮品,无明确回目,四季,日常饮品，滋补营养,贾府日常饮食中的奶制品,"鲜牛奶","乳白色；奶香浓郁；口感顺滑","书中多次提及“奶子”",
杏仁茶,饮品,第五十四回,冬季,杏仁茶暖身，冬季尤佳,贾府节庆宴席上的饮品,"甜杏仁；糯米粉；糖；清水","色泽乳白；杏仁香浓郁；口感顺滑","出现在贾母元宵夜宴的饮品中",
普洱茶,饮品,第六十三回,四季,普洱茶消食解腻，四季可饮,林之孝家的建议宝玉喝的茶,"普洱茶；沸水","茶汤红浓明亮；陈香醇厚；滋味甘滑","林之孝家的见宝玉吃面怕停食，建议“焖些普洱茶”",
女儿茶,饮品,第六十三回,四季,茶品四季皆宜,袭人回答林之孝家的时说的茶名,"女儿茶；沸水","茶汤清亮；香气清雅；滋味鲜爽","袭人回答“焖了一茶缸子女儿茶”",
龙井茶,饮品,第八十二回,春季,龙井以明前为佳，四季可饮,黛玉让紫鹃给宝玉沏的茶,"龙井茶；沸水","茶汤嫩绿明亮；豆香清雅；滋味鲜醇甘爽","黛玉让紫鹃“把我的龙井茶给二爷沏一碗”",
风干栗子,果品,第十九回,秋冬季,栗子秋季成熟，风干后冬季食用,宝玉想吃、袭人剥给他吃的零食,"栗子","风干后栗肉缩紧；甜度浓缩；口感韧而有嚼劲","宝玉说“我只想风干栗子吃”，袭人替他剥",
落花生仁,果品,无明确回目,秋季,花生秋季收获，干果四季可食,书中提及的干果之一,"花生仁","香脆可口；富含油脂；微甜","书中在干果子一类中提及",
开口松子,果品,无明确回目,秋冬季,松子秋冬收获，干果可存四季,书中提及的干果之一,"松子仁","松子特有的清香；油脂丰富；酥脆香甜","作为日常零食或糕点配料",
纸皮桃仁,果品,无明确回目,秋冬季,核桃秋季收获，干果四季可食,书中提及的干果之一,"核桃仁","桃仁酥脆；微苦回甘；油脂丰富","作为干果之一出现在贾府日常",
松子穰,果品,无明确回目,秋冬季,同开口松子,松子仁的别称,"松子仁","同开口松子","见“开口松子”",
鲜藕,果品,第二十六回,夏秋季,鲜藕为夏秋时令蔬菜,薛蟠生日时提到的食材,"鲜藕","生食脆甜；熟食软糯；口感清爽","薛蟠说“这么粗这么长粉脆的鲜藕”",
西瓜,果品,第二十六回,夏季,西瓜为夏季消暑特供,薛蟠生日时提到的水果,"西瓜","瓜瓤鲜红多汁；清甜爽口；解暑佳品","薛蟠将“这么大的西瓜”作为生日礼物",
蜜饯荔枝,果品,第八十二回,夏季,荔枝夏季成熟，蜜饯后四季可食,宝钗派人送给黛玉的水果,"荔枝；糖","色泽晶莹；甜香浓郁；口感软韧","宝钗专门送一瓶给黛玉",
红菱,果品,第三十七回,秋季,红菱为秋季水乡特产,宝玉派人给湘云送的鲜果,"红菱","生食脆甜多汁；熟食粉糯清香","宝玉给湘云送红菱和鸡头",
鸡头,果品,第三十七回,秋季,鸡头米为秋季水生植物果实,即“芡实”，宝玉送给湘云的鲜果,"鸡头米","煮熟后口感软糯；微甜清香；滋补养生","与红菱一同送给湘云",
鸡头米,果品,第三十七回,秋季,同鸡头，秋季时令,即“鸡头”的米仁部分,"鸡头米","同鸡头","见“鸡头”",
砂仁,果品,第六十三回,四季,砂仁为干果，四季可食,贾蓉与尤二姐抢食的零食,"砂仁","砂仁有特殊辛香；微苦回甘；嚼后清香","贾蓉与尤二姐抢砂仁吃",
佛手,果品,第四十回,秋冬季,佛手秋冬成熟，主要供观赏闻香,探春房中摆设的果品,"佛手","佛手有浓郁清香；色泽金黄；造型奇特","探春房中佛手作为陈设",
柚子,果品,第四十一回,秋冬季,柚子秋冬时令水果,板儿和巧姐儿交换的玩具,"柚子","柚子清香；果肉酸甜多汁；柚皮有浓香","巧姐儿用柚子换板儿的佛手",
枣儿,果品,第三十九回,秋季,红枣秋季收获，干果四季可食,刘姥姥带来的乡土礼物,"干枣","枣肉甜糯；香气浓郁；营养丰富","刘姥姥带枣儿、倭瓜等土产感谢贾府",
倭瓜,果品,第三十九回,秋季,南瓜秋季收获,刘姥姥带来的乡土礼物,"倭瓜","南瓜软糯；微甜；营养丰富","同枣儿一起作为刘姥姥的谢礼",
朱桔,果品,第五十回,冬季,朱桔为冬季时令水果,李纨让人带给袭人的果品,"朱桔","果肉酸甜多汁；橘香浓郁","李纨命人带朱桔等给袭人",
黄橙,果品,第五十回,冬季,黄橙为冬季时令水果,李纨让人带给袭人的果品,"橙子","果肉酸甜；橙香浓郁","同朱桔一起送给袭人",
橄榄,果品,第五十回,秋冬季,橄榄秋冬成熟，干果四季可食,李纨让人带给袭人的果品,"橄榄","初食苦涩；回味甘甜；生津止渴","同朱桔、黄橙一起送给袭人",
菱角,果品,无明确回目,秋季,菱角为秋季水乡特产,秋季时令果品,"菱角","生食脆甜；熟食粉糯","作为秋季时令果品出现在贾府日常",
栗子,果品,第十九回,秋季,同风干栗子，秋季时令,即“风干栗子”,"栗子","同风干栗子","同风干栗子",
蟠桃,果品,无明确回目,夏季,桃子夏季成熟，象征长寿,作为寿礼出现,"蟠桃","桃子鲜甜多汁；蟠桃形扁；寓意长寿","出现在寿礼中，象征长寿",
燕窝,补品补食,第四十五回,四季,补品四季可服,宝钗劝黛玉吃的滋补品,"燕窝","燕窝丝滑软糯；无色无味；依赖辅料提味","宝钗劝黛玉“比药还强”",
燕窝汤,补品补食,第十回,四季,滋补养阴，病中调理,尤氏让秦可卿喝的汤品,"燕窝；冰糖；清水","燕窝丝滑；汤汁清甜","秦可卿病中尤氏让她喝了半钟燕窝汤",
茯苓霜,补品补食,第六十回,四季,补品四季可服,柳五儿转送的补品,"茯苓","粉质细腻洁白；淡香；营养滋补","柳五儿将茯苓霜转送他人",
人参,补品补食,第十回,四季,补品四季可服，秋冬进补更佳,秦可卿药方中的君药,"人参","人参味甘微苦；大补元气","秦可卿药方中人参为君药",
肉桂,补品补食,第四十五回,冬季,肉桂温补，冬季更宜,黛玉药方中提到的药材,"肉桂","肉桂辛热；有特殊香气；温补命门","黛玉抱怨药方中人参肉桂太多",
八珍益母丸,补品补食,第二十八回,四季,丸药四季可服,宝玉猜测的丸药名,"多种中药","补气养血；调理月经","宝玉猜测丸药名时提及",
左归丸,补品补食,第二十八回,四季,丸药四季可服,宝玉猜测的丸药名,"多种中药","滋肾补阴；填精益髓","宝玉猜测时提及",
右归丸,补品补食,第二十八回,四季,丸药四季可服,宝玉猜测的丸药名,"多种中药","温补肾阳；填精补血","宝玉猜测时提及",
八味地黄丸,补品补食,第二十八回,四季,丸药四季可服,宝玉猜测的丸药名,"多种中药","温补肾阳；滋阴补肾","宝玉猜测时提及",
天王补心丹,补品补食,第二十八回,四季,丸药四季可服,宝钗纠正的丸药名,"多种中药","滋阴养血；安神定志","王夫人记得“金刚”，宝钗纠正为“天王补心丹”",
冷香丸,补品补食,第七回,四季,四季可服，花蕊需春分晒制,宝钗描述自己的奇病和丸药,"四种花蕊；四时之水；黄柏","香气清冷；药效神奇；专治“热毒”","宝钗介绍此方，周瑞家的感叹“巧死了人”",
香雪润津丹,补品补食,第三十回,夏季,清凉润喉，夏季尤佳,宝玉喂给金钏儿的丸药,"多种中药","清凉甘甜；润喉生津","宝玉将香雪润津丹喂给金钏儿",
十香返魂丹,补品补食,第九十一回,四季,急救用药四季备用,凤姐送给宝钗的急救药,"多种芳香开窍中药","芳香开窍；醒神回苏","宝钗病重时凤姐送此药",
至宝丹,补品补食,第九十一回,四季,急救用药四季备用,王夫人送给宝钗的急救药,"多种名贵药材","清热开窍；化浊解毒","王夫人送此药给病重的宝钗",
人参养荣丸,补品补食,第三回,四季,丸药四季可服,黛玉自述从小服用的丸药,"人参；白术；茯苓；当归等","补气养血；安神定志","黛玉从小服用，显示其先天体弱",
糟油,调味品,第四十一回,四季,调味品四季使用,茄鲞制作过程中使用的调味品,"酒糟提取液","糟香浓郁；咸鲜微甜","茄鲞制作中“外加糟油一拌”",
姜醋,调味品,第三十八回,四季,蘸料四季使用，食蟹必备,螃蟹宴上每人一份的蘸料,"生姜；醋","姜的辛辣与醋的酸融合；增鲜去腥","螃蟹宴上“多倒些姜醋”",
酱,调味品,第四十二回,四季,调味品四季使用,宝钗列出的画具清单中的食材,"豆酱、面酱等","咸鲜；酱香浓郁","宝钗在清单中列入“酱半斤”",
醋,调味品,第四十二回,四季,调味品四季使用,宝钗列出的画具清单中的食材,"米醋、陈醋等","酸味；增香去腥","同酱一起出现在清单中",
盐,调味品,无明确回目,四季,基础调味品,日常调味品,"食盐","咸味；防腐","日常烹饪、腌制必备",
糖,调味品,无明确回目,四季,基础调味品,日常调味品,"白糖、红糖、冰糖等","甜味；增鲜","日常烹饪、制作糕点必备",
